,Date,AirTmp_35d,WtrTemp_35d,Mo,Yr
391,1/26/1983,4.735013556,6.832263973,1,1983
392,1/27/1983,4.669299271,6.774225116,1,1983
393,1/28/1983,4.469299271,6.597585116,1,1983
394,1/29/1983,4.206442128,6.365429687,1,1983
395,1/30/1983,4.071274385,6.246049537,1,1983
396,1/31/1983,3.88732013,6.083581139,1,1983
397,2/1/1983,3.724462987,5.93974571,2,1983
398,2/2/1983,3.842857143,6.044311429,2,1983
399,2/3/1983,3.96,6.147772,2,1983
400,2/4/1983,3.991428571,6.175529714,2,1983
401,2/5/1983,3.851428571,6.051881714,2,1983
402,2/6/1983,3.682857143,5.902999429,2,1983
403,2/7/1983,3.648571429,5.872718286,2,1983
404,2/8/1983,3.634285714,5.860101143,2,1983
405,2/9/1983,3.591428571,5.822249714,2,1983
406,2/10/1983,3.525714286,5.764210857,2,1983
407,2/11/1983,3.257142857,5.527008571,2,1983
408,2/12/1983,3.048571429,5.342798286,2,1983
409,2/13/1983,2.897142857,5.209056571,2,1983
410,2/14/1983,2.76,5.087932,2,1983
411,2/15/1983,2.665714286,5.004658857,2,1983
412,2/16/1983,2.762857143,5.090455429,2,1983
413,2/17/1983,3.045714286,5.340274857,2,1983
414,2/18/1983,3.142857143,5.426071429,2,1983
415,2/19/1983,3.205714286,5.481586857,2,1983
416,2/20/1983,3.397142857,5.650656571,2,1983
417,2/21/1983,3.631428571,5.857577714,2,1983
418,2/22/1983,4.025714286,6.205810857,2,1983
419,2/23/1983,4.474285714,6.601989143,2,1983
420,2/24/1983,4.785714286,6.877042857,2,1983
421,2/25/1983,4.9,6.97798,2,1983
422,2/26/1983,4.837142857,6.922464571,2,1983
423,2/27/1983,4.822857143,6.909847429,2,1983
424,2/28/1983,4.888571429,6.967886286,2,1983
425,3/1/1983,5.04,7.101628,3,1983
426,3/2/1983,5.3,7.33126,3,1983
427,3/3/1983,5.534285714,7.538181143,3,1983
428,3/4/1983,5.842857143,7.810711429,3,1983
429,3/5/1983,6.217142857,8.141280571,3,1983
430,3/6/1983,6.408571429,8.310350286,3,1983
431,3/7/1983,6.644753281,8.518946098,3,1983
432,3/8/1983,6.836181852,8.688015812,3,1983
433,3/9/1983,6.699038995,8.566891241,3,1983
434,3/10/1983,6.741896138,8.604742669,3,1983
435,3/11/1983,6.833324709,8.685492383,3,1983
436,3/12/1983,7.044753281,8.872226098,3,1983
437,3/13/1983,7.321896138,9.116998669,3,1983
438,3/14/1983,7.559038995,9.326443241,3,1983
439,3/15/1983,7.950467567,9.672152955,3,1983
440,3/16/1983,8.236181852,9.924495812,3,1983
441,3/17/1983,8.396181852,10.06580781,3,1983
442,3/18/1983,8.770467567,10.39637695,3,1983
443,3/19/1983,9.213324709,10.78750838,3,1983
444,3/20/1983,9.590467567,11.12060095,3,1983
445,3/21/1983,9.933324709,11.42341238,3,1983
446,3/22/1983,9.944753281,11.4335061,3,1983
447,3/23/1983,9.873324709,11.37042038,3,1983
448,3/24/1983,9.644753281,11.1685461,3,1983
449,3/25/1983,9.607610424,11.13574153,3,1983
450,3/26/1983,9.564753281,11.0978901,3,1983
451,3/27/1983,9.684753281,11.2038741,3,1983
452,3/28/1983,9.827610424,11.33004553,3,1983
453,3/29/1983,9.744753281,11.2568661,3,1983
454,3/30/1983,9.656181852,11.17863981,3,1983
455,3/31/1983,9.639038995,11.16349924,3,1983
456,4/1/1983,9.773324709,11.28210038,4,1983
457,4/2/1983,10.059039,11.53444324,4,1983
458,4/3/1983,10.31618185,11.76155181,4,1983
459,4/4/1983,10.45046757,11.88015295,4,1983
460,4/5/1983,10.54761042,11.96594953,4,1983
461,4/6/1983,10.64761042,12.05426953,4,1983
462,4/7/1983,10.759039,12.15268324,4,1983
463,4/8/1983,10.839039,12.22333924,4,1983
464,4/9/1983,10.89046757,12.26876095,4,1983
465,4/10/1983,10.89332471,12.27128438,4,1983
466,4/11/1983,10.72,12.118204,4,1983
467,4/12/1983,10.57714286,11.99203257,4,1983
468,4/13/1983,10.70285714,12.10306343,4,1983
469,4/14/1983,10.83428571,12.21914114,4,1983
470,4/15/1983,11.1,12.45382,4,1983
471,4/16/1983,11.18571429,12.52952286,4,1983
472,4/17/1983,11.20857143,12.54971029,4,1983
473,4/18/1983,11.00571429,12.37054686,4,1983
474,4/19/1983,10.67292657,12.07662875,4,1983
475,4/20/1983,10.57458034,11.98976936,4,1983
476,4/21/1983,10.67458034,12.07808936,4,1983
477,4/22/1983,10.67743748,12.08061279,4,1983
478,4/23/1983,10.63743748,12.04528479,4,1983
479,4/24/1983,10.64600891,12.05285507,4,1983
480,4/25/1983,10.56886606,11.9847225,4,1983
481,4/26/1983,10.8317232,12.21687793,4,1983
482,4/27/1983,11.2317232,12.57015793,4,1983
483,4/28/1983,11.79743748,13.06979679,4,1983
484,4/29/1983,12.28600891,13.50130307,4,1983
485,4/30/1983,12.70886606,13.8747705,4,1983
486,5/1/1983,13.00600891,14.13720707,5,1983
487,5/2/1983,13.26315177,14.36431564,5,1983
488,5/3/1983,13.6317232,14.68983793,5,1983
489,5/4/1983,13.87743748,14.90685279,5,1983
490,5/5/1983,14.12886606,15.1289145,5,1983
